,position,company_name,rating,location,date_listed,salary
179,Data Analytics en Reporting Analyst (DMOW) via Vlaanderen co...,Vlaanderen Connect.,,Brussel,Meer dan 30 dagen geleden,
180,Data Architect,b.fine,,Brussel,3 dagen geleden,
181,Commerical Policy Analyst,Orange,"4,1",België,Meer dan 30 dagen geleden,
182,Senior Analyst,Retailored,,Bruxelles Berchem-Sainte-Agathe,Meer dan 30 dagen geleden,
183,Financieel Analyst,Denys,"4,2",Wondelgem,24 dagen geleden,
184,Business Consultant Finance/Energy,BK Consulting Brussels,,Brussel,21 dagen geleden,
185,Business Analyst Competition & retail,Colruyt Group,"3,9",Halle,Meer dan 30 dagen geleden,
186,Data-analist (m/v/x),AZ Jan Palfijn,"2,7",Gent,Meer dan 30 dagen geleden,
187,Business Analyst BI,Vinçotte,"3,2",België,Meer dan 30 dagen geleden,
188,Reporting Analyst Supply Chain,Colruyt Group,"3,9",Halle,Meer dan 30 dagen geleden,
189,Financial Data Analyst,Aquafin NV,"4,3",Aartselaar,Meer dan 30 dagen geleden,
190,Functional analyst,Keyrus,,België,Meer dan 30 dagen geleden,
191,Business Process Analyst,Logi-technic,"2,8",Gent,19 dagen geleden,
192,Business Analyst,Devoteam Technology Consulting Belgium,,Zaventem,Meer dan 30 dagen geleden,
193,Application Analyst - Developer .Net,Darwin,,Ieper,6 dagen geleden,
196,BI Developer,A.S.Adventure,,Hoboken,Meer dan 30 dagen geleden,
197,Learning and Knowledge Expert (H/F),Mevr. Van Aert,,Wommelgem,Meer dan 30 dagen geleden,
198,Project Architect,Proximus Group,"3,9",Brussel,5 dagen geleden,
199,Data Management Analyst - Customer Journey Expert,ING,"4,0",België,Meer dan 30 dagen geleden,
200,Methods and applications for Bayesian phylodynamic inference,KU Leuven,"4,2",Leuven,Meer dan 30 dagen geleden,
201,Cyber Security Analyst,"MCR, LLC.",,Bergen,4 dagen geleden,
202,RWE Scientist UK/Belgium/US,UCB S.A.,"3,8",Anderlecht,Meer dan 30 dagen geleden,
203,Business Intelligence Expert/Analyst,Versele-Laga,,Deinze,Meer dan 30 dagen geleden,
204,Software Engineer,FEops NV,,Gent,Meer dan 30 dagen geleden,
205,Data Scientist,Agilytic,,Brussel,Meer dan 30 dagen geleden,
206,"Business Analyst | Brussels, Belgium",TopCompare,,Brussel-Hoofdstad,Meer dan 30 dagen geleden,
207,Data analist,Connect-ICT,,Brussel-Hoofdstad,4 dagen geleden,
208,Web data Analyst (m/v),Ethias,"4,4",Luik (stad),Meer dan 30 dagen geleden,
209,Functional - Business Analyst,Oniryx,,België,Meer dan 30 dagen geleden,
210,RISK ANALYST,ENI,,Brussel-Hoofdstad,Meer dan 30 dagen geleden,
211,Business Intelligence Analyst,SWORD,,Brussel-Hoofdstad,Meer dan 30 dagen geleden,
212,Cybersecurity / SOC Analyst,Sogeti,"3,4",Diegem,Meer dan 30 dagen geleden,
213,Medior Data Analist,Burdock,,Antwerpen (stad),27 dagen geleden,
214,Business Analysis Specialist Data Monetisation - Liquidity,Euroclear,"4,0",Brussel,Meer dan 30 dagen geleden,
215,Cream Consulting - Data Analyst,Cream Consulting,,Brussel,Meer dan 30 dagen geleden,
216,sr Data Analyst - SQL (SAS) CRM Banking DEF,TiTANS,,Brussel,Meer dan 30 dagen geleden,
217,Data analyst,VOO,"3,5",Seraing,Meer dan 30 dagen geleden,
218,Junior Analyst Inventory,CooperVision,"3,8",Luik (stad),Meer dan 30 dagen geleden,
219,ICT Business Analyst,Fluxys,"4,5",Brussel,11 dagen geleden,
220,Investors Relations Associate,Eurofins,"3,1",Brussel,Meer dan 30 dagen geleden,
221,Product Engineer (H/F),Jeroen Coussement,,Gent,Meer dan 30 dagen geleden,
222,Data Analyst - Team Leader,KONE,"3,7",Brussel,Meer dan 30 dagen geleden,
223,Category Management & Analytics Intern Belgium,PepsiCo,"3,8",Zaventem,3 dagen geleden,
224,Data Architect,LoQutus,,Gent,Meer dan 30 dagen geleden,
225,Product Analyst - SAP Integration,OMP,,Antwerpen (stad),Meer dan 30 dagen geleden,
235,Business Analyst (f-h-x),BNP Paribas,"3,9",België,Meer dan 30 dagen geleden,
236,SAS Business Analytics / Data Science consultant (H/F/X) MAC...,Cooder,,Machelen,10 dagen geleden,
237,Jr Analyst / Auditor,Retailored,,Bruxelles Berchem-Sainte-Agathe,Meer dan 30 dagen geleden,
238,Data Governance Specialist BI,Proximus Group,"3,9",Brussel,Meer dan 30 dagen geleden,
239,Lid ICT binnen CG/Informatieveiligheid & Privacy,Federale Politie,"3,0",België,13 dagen geleden,
240,Client Business Analyst,Nielsen,"3,8",Brussel,26 dagen geleden,
241,Global Business Analyst Neurology,UCB S.A.,"3,8",Anderlecht,Meer dan 30 dagen geleden,
242,Finance & Analytics Internship program,UCB S.A.,"3,8",Anderlecht,Meer dan 30 dagen geleden,
243,Functioneel Analist,AARIXA,,België,Meer dan 30 dagen geleden,
244,"Enterprise Account Executive, Google Cloud",Google,"4,3",Brussel,6 dagen geleden,
245,Marketing Product Analyst,Case New Holland Industrial,"3,8",Brussel,Meer dan 30 dagen geleden,
246,Field Sales Intern Belgium,PepsiCo,"3,8",Zaventem,11 dagen geleden,
247,Business Analyst - Nipro Pharmapackaging Intl.,Nipro Europe Group Companies,,Mechelen,Meer dan 30 dagen geleden,
249,BUSINESS ANALYST,Intys Consulting,,Brussel,Meer dan 30 dagen geleden,
250,Job | Functional Analyst | Brussel,Belfius,"3,6",Brussel,Meer dan 30 dagen geleden,
251,Data Analyst - Executive Compensation,Institutional Shareholder Services Inc,,Bruxelles Watermael-Boitsfort,Meer dan 30 dagen geleden,
252,Junior Quantitative Analyst / Risk Consultant - Start Fall 2...,PwC,"4,0",Brussel,Meer dan 30 dagen geleden,
253,Strategisch Data Analist,Hasco Invest,,Hasselt België,Meer dan 30 dagen geleden,
254,SVP Business Development and Ambulatory Growth,WellStar Health System,,Antwerpen (stad),4 dagen geleden,
255,Junior Optimization Consultant,N-SIDE,,België,Meer dan 30 dagen geleden,
256,Talent Acquisition Specialist,Luminus,"3,4",Brussel,Meer dan 30 dagen geleden,
258,"Sr. Data Analyst, SaaS Transformation",Collibra,,Brussel,Meer dan 30 dagen geleden,
259,Functional Analyst,GFI,,België,Meer dan 30 dagen geleden,
260,Data Engineer,MultiMinds,,Aalst,Meer dan 30 dagen geleden,
261,Application Analyst B-Stations,Ypto NV,,Anderlecht,Meer dan 30 dagen geleden,
262,Product Analyst,Sparagus,,Antwerpen (stad),2 dagen geleden,
263,Supply Chain Analyst (H/F),Fleur Deprez,,Roeselare,Meer dan 30 dagen geleden,
264,Economist,FSMA,,Brussel,Meer dan 30 dagen geleden,
265,Traineeship Business & Technology,Planet Talent,,België,Meer dan 30 dagen geleden,
266,Oracle E-Business Analyst SWD1002,Kristanea,,Brussel,Meer dan 30 dagen geleden,
267,Commercial Analyst,deSter,"3,4",Hoogstraten,Meer dan 30 dagen geleden,
268,Technical Consultant Integration,OMP,,Wommelgem,Meer dan 30 dagen geleden,
269,Azure Data Engineer,Proximus SpearIT,,Brussel,11 dagen geleden,
270,Business Analyst BI,LACO Information Services,,Diegem,Meer dan 30 dagen geleden,
271,Functional Analyst Junior RPA,Sibelga,"4,0",Brussel,Meer dan 30 dagen geleden,
272,Business Intelligence Analyst,NRB,"3,4",Brussel,Meer dan 30 dagen geleden,
273,Global Business Development and Sales Director – Hydrogen El...,Cummins Inc.,"3,9",Mol,Vandaag,
274,Senior Business Analyst,ZEB,"3,9",Merchtem,10 dagen geleden,
275,Business Intelligence Analyst,Smartvalue,,Wandre,Meer dan 30 dagen geleden,
276,Full Stack Developer (H/F),Dhr. Kevin Box,,Hasselt België,Meer dan 30 dagen geleden,
277,Transportation Analyst,Caterpillar,"3,9",Grimbergen,Meer dan 30 dagen geleden,
278,Senior Digital Performance Analyst.,Clicktrust,,Brussel,Meer dan 30 dagen geleden,
279,Commercial Business Analyst,Excecutive Talents via VDAB,,Heverlee,Vandaag,
282,Pim Data Specialist,Van den Broeck - Prolians,,Herenthout,Meer dan 30 dagen geleden,
284,Marketing Analyst Retail Partners Colruyt Group,Colruyt Group,"3,9",Mechelen,7 dagen geleden,
291,Geomathicus - Federale Politie / Police Fédérale,Fedict Select - OPGEZEGD,,België,Meer dan 30 dagen geleden,
292,Technical Big Data Analyst,Telenet,"3,8",Mechelen,Meer dan 30 dagen geleden,
293,"Supply Chain Analyst Fine Food Cheese, Coffee & Wine",Colruyt Group,"3,9",Ghislenghien,11 dagen geleden,
294,Project Manager & Opex Analyst,Athora Belgium,"4,3",Bruxelles Ixelles,Meer dan 30 dagen geleden,
295,Actuarieel Analist,Baloise Group,,Antwerpen (stad),21 dagen geleden,
296,Geomathicus,Fedict Select - OPGEZEGD,,België,Meer dan 30 dagen geleden,
297,Customer Experience Analyst,TVH GROUP,"3,7",Waregem,Meer dan 30 dagen geleden,
298,Analyste Business Intelligence Junior (m/f/x),CPAS d'Anderlecht,"3,8",Anderlecht,3 dagen geleden,
299,Client Strategy Director,Clicktrust,,Brussel,Meer dan 30 dagen geleden,
300,Customer Collaboration Manager,Mondelēz International,"4,0",Mechelen,2 dagen geleden,
301,Risk Analyst,Securex,"3,8",Brussel,Meer dan 30 dagen geleden,
302,"Sr Analyst, Business - Sales Operations",Ansell,,Brussel,Meer dan 30 dagen geleden,
303,Senior Functional Analyst,Proximus SpearIT,,Brussel,Zojuist geplaatst,
304,Business architect,Ordina Belgium,"3,8",België,Meer dan 30 dagen geleden,
305,Data-analyst Stockbeheer,Colruyt Group,"3,9",Halle,Meer dan 30 dagen geleden,
306,Analyste actuariel,Baloise Group,,Antwerpen (stad),21 dagen geleden,
307,Group Revenue Analyst,Walters People,"3,1",Gent,19 dagen geleden,
308,Senior Statistical Analyst,"Medpace, Inc.",,Leuven,Meer dan 30 dagen geleden,
309,Financial & Performances Analyst,Walters People,"3,1",Evere,17 dagen geleden,
310,Internship in Document & Content Services,ING,"4,0",België,Meer dan 30 dagen geleden,
311,afarax - BI Developer - Data Vault,afarax,,Waals-Brabant,5 dagen geleden,
312,Microsoft BI Analyst,TiTANS,,Brussel,Meer dan 30 dagen geleden,
313,Artificial Intelligence Engineer,TVH GROUP,"3,7",Waregem,Meer dan 30 dagen geleden,
314,Numerical methods for data assimilation applied to structura...,KU Leuven,"4,2",Leuven,Meer dan 30 dagen geleden,
315,Sourcing Manager EU,UCB S.A.,"3,8",Anderlecht,Meer dan 30 dagen geleden,
316,Data Analist,Cartiere,,Antwerpen (stad),4 dagen geleden,
