,position,company_name,rating,location,date_listed,salary
229,System Analyst,บริษัท พีทีที ดิจิตอล โซลูชั่น จำกัด,,"จตุจักร, กรุงเทพมหานคร",28 วันที่ผ่านมา,
230,Outbound Line Manager,Lazada,3.8,Thailand,30+ วันที่ผ่านมา,
231,Product Analyst (NocNoc),The Siam Cement Public Company Limited,,กรุงเทพมหานคร,19 วันที่ผ่านมา,
233,Business Development (Software/Process Industry),Neon Infotech,,ระยอง,30+ วันที่ผ่านมา,
234,Data Analyst Supervisor,บริษัท เซ็นทรัลรีเทลคอร์ปอเรชั่น จำกัด (สำนักงานให...,,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
235,FIU Personnel,CITI,3.9,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
237,"AVP, Product Owner (Digital Product)",Telenor,,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
239,IT Project Manager,PTTEP Services Limited,,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
243,"Senior Manager, Pricing Analyst",Telenor,,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
244,Business Analyst for Logistics Industry,PRTR,,กรุงเทพมหานคร,3 วันที่ผ่านมา,
245,Supply Chain Finance Analyst: MAKE,บริษัท ฟรีสแลนด์คัมพิน่า (ประเทศไทย) จำกัด (มหาชน),,"พญาไท, กรุงเทพมหานคร",21 วันที่ผ่านมา,
246,Programmer/Analyst,,,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
248,IT Security Engineer (SIEM/ Arcsight),ATA IT,,"สาทร, กรุงเทพมหานคร",30+ วันที่ผ่านมา,
251,Business Analyst - Insurance,PRTR,,กรุงเทพมหานคร,27 วันที่ผ่านมา,
253,Solution Architect,ธนาคารไทยพาณิชย์,4.5,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
255,.Net Developer,Fircroft,,Thailand,4 วันที่ผ่านมา,
257,Finance Planning & Analyst,"Pasona HR Consulting Recruitment (Thailand) Co.,Lt...",,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
261,Senior Valuer,CBRE,,"ปทุมวัน, กรุงเทพมหานคร",30+ วันที่ผ่านมา,
263,IT Business System Analyst,บริษัท ลูเมนตั้ม อินเตอร์เนชั่นแนล (ประเทศไทย) จำก...,,ปทุมธานี,18 วันที่ผ่านมา,
264,CRBO - Lending Quality Assurance Manager,ธนาคารทหารไทย จำกัด (มหาชน),4.4,"จตุจักร, กรุงเทพมหานคร",30+ วันที่ผ่านมา,
265,developer_etl,Infinite Computing Systems (Thailand) Co. Ltd,,"วัฒนา, กรุงเทพมหานคร",30+ วันที่ผ่านมา,
266,RPA Business Analyst,,,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
267,senior and junior programmer (c#.net),บริษัท ศรีสวัสดิ์ คอร์ปอเรชั่น จํากัด (มหาชน),,"หลักสี่, กรุงเทพมหานคร",30+ วันที่ผ่านมา,
268,Compensation & Benefits Manager,CITI,3.9,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
269,System Analyst,"Pasona HR Consulting Recruitment (Thailand) Co.,Lt...",,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
270,senior supervisor it business analyst (สำนักงานใหญ่),บริษัท โออิชิ กรุ๊ป จำกัด (มหาชน),4.8,"ห้วยขวาง, กรุงเทพมหานคร",30+ วันที่ผ่านมา,
271,Senior Finance Analyst,PRTR,,ชลบุรี,21 วันที่ผ่านมา,
272,Commercial Analyst - Global Alcohol Industry,Michael Page TH,,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
274,Business Analyst,"PTT ICT Solutions Co.,Ltd",,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
276,system integration engineer,บริษัท นันยางการทออุตสาหกรรม จำกัด,,"หนองแขม, กรุงเทพมหานคร",30+ วันที่ผ่านมา,
277,IT Business Analyst,PRTR,,กรุงเทพมหานคร,26 วันที่ผ่านมา,
278,Application SAP SCM Analyst,Experis Thailand,,"พระนคร, กรุงเทพมหานคร",30+ วันที่ผ่านมา,
280,Financial Analyst - British Firm - BTS Phrompong station,Michael Page TH,,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
281,RPG/AS400 Programmer,ISM Technology Recruitment,,Thailand,30+ วันที่ผ่านมา,
282,Business Analyst,The Siam Cement Public Company Limited,,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
284,Senior Sales Operations Analyst,Ninja Van,,Thailand,30+ วันที่ผ่านมา,
285,Assistant Company Secretary,"Pasona HR Consulting Recruitment (Thailand) Co.,Lt...",,ปทุมธานี,30+ วันที่ผ่านมา,
287,System Analyst (Business Intelligence),"Pasona HR Consulting Recruitment (Thailand) Co.,Lt...",,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
288,BI Test Analyst,"Vanness Plus Consulting Co.,Ltd",,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
289,iOS Developer,Fircroft,,Thailand,4 วันที่ผ่านมา,
291,HR Analyst (3rd Language Speaker),"Pasona HR Consulting Recruitment (Thailand) Co.,Lt...",,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
292,AVP Financial Analyst,PRTR,,นนทบุรี,30+ วันที่ผ่านมา,
