,position,company_name,rating,location,date_listed,salary
99,Business Analyst,Aera Technology,,"Lausanne, VD",Vor mehr als 30 Tagen,
100,Junior Product Specialist,Lombard Odier & Cie,4.2,"Genf, GE",vor 19 Tagen,
101,"Software Engineer / Data Analyst (m/w) FH, ETH, Uni",Helbling Technik,,"Aarau, AG",Vor mehr als 30 Tagen,
102,Head of AI and Data Science for Business Insights,Roche,4.2,"Basel, BS",vor 12 Tagen,
103,Senior Business Analyst,Utopia Music,,"Zug, ZG",vor 20 Tagen,
104,RWA Business Analyst,Redempt Resourcing,,"Zürich, ZH",Vor mehr als 30 Tagen,CHF 450 pro Tag
105,DIGITAL BIOMARKER - VOICE/SPEECH DATA ANALYST,Altran,3.2,"Basel, BS",Vor mehr als 30 Tagen,
106,Data Scientist/ Analyst (m/w) 60-100%,myitjob,,"Zürich, ZH",Vor mehr als 30 Tagen,
107,Data Analyst (Senior Position) m/w,myitjob,,"Zug, ZG",Vor mehr als 30 Tagen,
108,IT Support Analyst,UBS,3.8,"Zürich, ZH",vor 4 Tagen,
109,Career Start – Investment Banking –Structured Transactions G...,Credit Suisse Campus,,"Zürich, ZH",Vor mehr als 30 Tagen,
117,Business Analyst 80%-100%,DAI Group GmbH,,"Zug, ZG",vor 19 Tagen,
118,Risk Reporting Analyst,Credit Suisse,3.9,"Zürich, ZH",Vor mehr als 30 Tagen,
119,Clinical Data Manager,Kantonsspital Baselland,,"Liestal, BL",Vor mehr als 30 Tagen,
120,"Lead Investment Data & BI Analyst (m/w), 80-100%",Zurich Insurance Group,3.8,"Zürich, ZH",Vor mehr als 30 Tagen,
121,MyAO Program Manager & Business Analyst,AO Foundation,4.3,"Davos, GR",vor 10 Tagen,
122,Digital Pharma Data Analyst,Merck KGaA,,"Lausanne, VD",Vor mehr als 30 Tagen,
123,ASAP: Data Analyst - Pricing Data Coordination - Pharma (m/w...,Michael Page,3.5,"Zug, ZG",Vor mehr als 30 Tagen,
124,Business Analyst Order-to-Cash (O2C),Vorwerk,,"Wollerau, SZ",vor 5 Tagen,
125,"Compensation Analyst, Europe & Canada",Takeda Pharmaceuticals,3.8,"Zürich, ZH",Vor mehr als 30 Tagen,
126,Senior Credit Analyst (m/w/d),Tech Data Corporation,3.6,"Rotkreuz, ZG",Vor mehr als 30 Tagen,
127,"Business Analyst, Information Management",Barry Callebaut,3.5,"Zürich, ZH",Vor mehr als 30 Tagen,
128,Business Analyst - Liquid Strategies 80-100%,LGT,,"Pfäffikon, SZ",vor 7 Tagen,
