,position,company_name,rating,location,date_listed,salary
263,Product Analyst - Tracking - Groceries and New Verticals (f/...,Delivery Hero,"3,7",Berlin,vor 19 Tagen,
264,Supply Chain Process & Data Analyst (m/w/d),Fresenius Kabi,"3,7",Bad Hersfeld,Vor mehr als 30 Tagen,
265,Analyst Contractor - Munich (Speculative Application),SYSTEMIQ,,München,Vor mehr als 30 Tagen,
266,Data Engineer ‏ (d/f/m),Henkel,"3,9",Düsseldorf,Vor mehr als 30 Tagen,
267,"(Senior) Data Analyst, FinTech Analytics (f/m/d)",Delivery Hero,"3,7",Berlin,vor 19 Tagen,
268,JavaScript Full-Stack Engineer,TrailStone Group,,Berlin,vor 10 Tagen,
269,Analyst in Risk Controlling (m/f/d),Finance in Motion,,Frankfurt am Main,vor 4 Tagen,
270,Data Analyst,Next Ventures Limited,,Karlsruhe,vor 5 Tagen,
271,Digital Analyst / Web Analyst (m/w/d),Convidera GmbH,,Köln,vor 13 Tagen,
272,AML Analyst,CITI,"3,9",Frankfurt am Main,Vor mehr als 30 Tagen,
273,Fachinformatiker Anwendungsentwicklung (m/w/d) Auszubildende...,SCOOP Software,,Hamburg,vor 12 Tagen,1.000 € pro Monat
274,Datenbank-Analyst und -Entwickler,LeoSoft GmbH,,Deutschland,vor 20 Tagen,
275,Marketing Analyst (f/m/d),Delivery Hero,"3,7",Berlin,vor 19 Tagen,
276,Research Analyst - Retail (m/w/d),Mintel,,Düsseldorf,Vor mehr als 30 Tagen,
284,Data Analyst (w/m/d),Budde Music Publishing,,Berlin,Vor mehr als 30 Tagen,
285,Customer and Product Data Analyst,Serrala Group Gmbh,,Hamburg,Vor mehr als 30 Tagen,
286,Financial Analyst (w/m/d),KLEO Connect,,Berlin,Vor mehr als 30 Tagen,
287,data analyst / data scientist w/m/d,HFG Service GmbH,"2,8",Hamburg,Vor mehr als 30 Tagen,
289,Business Intelligence Intern,Taxfix,,Berlin,Vor mehr als 30 Tagen,
290,Data Scientist,JetBrains,,München,Vor mehr als 30 Tagen,
291,Supply Chain Process and Data Analyst (m/w/d),Melitta,,Minden,Vor mehr als 30 Tagen,
292,Data Analyst Rental (w/m/d),Arjo,,Kleinmachnow,Vor mehr als 30 Tagen,
293,Analyst – Corporate Data & Performance (m/w/d),Teamviewer Germany GmbH,"3,6",Berlin,vor 9 Tagen,
295,IT Business Analyst,Futurios.com,,Berlin,vor 17 Tagen,25.000 € - 54.000 € pro Jahr
296,Data Analyst / App Entwickler (m/w/d),Flemming Dental,,Hamburg,Vor mehr als 30 Tagen,
297,(Junior) Consultant & Analyst (m/w/d) - Yield Management,1&1 Telecommunication SE,,Maintal,vor 6 Tagen,
301,Senior Data Analyst (w/m/d),heycater!,,Berlin,vor 10 Tagen,
302,HEAD OF DATA ANALYTICS (M/W/D),BNP Paribas Cardif,"3,9",Stuttgart,Vor mehr als 30 Tagen,
303,Business Intelligence Analyst,Glatfelter,,Gernsbach,Vor mehr als 30 Tagen,
304,Data Analyst/Engineer (m/w/d) - Ab Initio,SKS Unternehmensberatung GmbH & Co. KG,,Frankfurt am Main,Vor mehr als 30 Tagen,
305,Data Analyst (m/w/d),Randstad Deutschland,"3,7",Köln,Vor mehr als 30 Tagen,
306,IT Business Analyst Environmental Health & Safety (f/m/d),HeidelbergCement AG,"3,7",Heidelberg,Vor mehr als 30 Tagen,
307,Junior Data Scientist (Google Cloud) (m/w/d),Sunlab GmbH,,Aschaffenburg,Vor mehr als 30 Tagen,
308,Junior Market Risk Manager & Analyst (f/m/x),Raiffeisen Capital Management,,Deutschland,vor 21 Tagen,
309,Senior FP&A Analyst,Takeaway.com,"3,8",Berlin,vor 5 Tagen,
310,Data Analyst / Data Manager (m/w/d) - Compliance,ISS Facility Services Holding GmbH,"3,5",Düsseldorf,Vor mehr als 30 Tagen,
311,DATA ENGINEER,TD Reply GmbH,,Berlin,Vor mehr als 30 Tagen,
312,Global People Operations Analyst Germany,Talend,,Bonn,Vor mehr als 30 Tagen,
313,E-Commerce Business Analyst (w/m/d),porta Möbel GmbH & Co.KG,,Porta Westfalica,Vor mehr als 30 Tagen,
314,IT System Administrator,Power Integrations,,Ense,vor 6 Tagen,
315,"Applied Scientist, Machine Learning",Zalando,"3,1",Berlin,vor 27 Tagen,
316,PURCHASING KEY USER & DATA ANALYST (M/W/D),Valeo,"3,9",Erlangen,Vor mehr als 30 Tagen,
317,Finance Analyst,The European Central Bank,,Frankfurt am Main,vor 19 Tagen,
318,Senior Data Analyst (f/m/div) at solarisBank AG,solarisBank,,Berlin,Vor mehr als 30 Tagen,
319,OSINT Analyst,Booz Allen Hamilton,"3,9",Stuttgart,vor 16 Tagen,
320,Senior Data Scientist (m/f/d),BASF Services Europe GmbH,"4,1",Berlin-Friedrichshain,vor 18 Tagen,
321,"Data Analyst - Investment Reporting (m/w/d), befristet auf 2...",Allianz SE (global headquarters),"3,9",München,Vor mehr als 30 Tagen,
322,Senior BI Analyst (m/f/x),Quandoo GmbH,"3,1",Berlin,vor 24 Tagen,
323,Business Analyst (m/w/d),PACT COMMUNICATION Group,,München,vor 4 Tagen,
324,Product Lifecycle Management Business Analyst (f/m/d),Essity,"3,8",München,vor 5 Tagen,
325,BI Business Analyst (m/w/d),Jochen Schweizer mydays Group,,München,Vor mehr als 30 Tagen,
326,Financial Controller (w/m/d),WOW Tech Group,"4,9",Berlin,vor 13 Tagen,
327,Media Data Analyst (m/w) im Sportmarketing,X Media Sports Consulting,,Landau in der Pfalz,Vor mehr als 30 Tagen,
328,Web App Analyst (m/f/d),Takeaway.com,"3,8",Berlin,Vor mehr als 30 Tagen,
329,Business Analyst (m/w/d) Data Warehouse,R+V Allgemeine Versicherung AG,"3,5",Wiesbaden,Vor mehr als 30 Tagen,
330,Revenue Assurance Analyst (m/w/d) Analytical Processes & Mon...,Telefonica,"3,9",München,vor 7 Tagen,
331,Data Analyst / IIoT Projektingenieur (m/w/d),WIKA Alexander Wiegand SE & Co. KG,"3,7",Klingenberg am Main,Vor mehr als 30 Tagen,
