,position,company_name,rating,location,date_listed,salary
271,Senior BI Analyst Gaming,Sky Betting and Gaming,3.6,Leeds LS1 4AP,2 days ago,
272,Property Business & Data Analyst,Newham Council,4.0,Havering-atte-Bower,30+ days ago,"£20,001 - £30,000 a year"
276,Regulatory Operations – EMIR GTR Transaction Reporting - Ana...,"Nomura Holdings, Inc.",3.9,London,3 days ago,
279,Data Analyst,Hydrogen Group,3.3,Edinburgh,30+ days ago,£300 a day
280,Data Governance Analyst,ASC Connections,,Coventry,17 days ago,"£30,000 - £35,000 a year"
282,Data Analyst,Executive Recruitment Services,,England,30+ days ago,"£25,000 - £30,000 a year"
284,"Associate Analyst, Performance Reporting",PlayStation Europe,3.7,London,6 days ago,
285,Senior BI Analyst Gaming,Sky Betting & Gaming,3.6,Leeds,2 days ago,
289,Business Analyst,Sky Betting & Gaming,3.6,Leeds,2 days ago,
290,Energy Risk Analyst,OVO External,,Bristol,5 days ago,
300,Customer Insights Analyst,SharkNinja,3.2,London,8 days ago,
302,Confirmations & Regulatory Reporting Analyst,Gazprom Marketing & Trading Ltd,3.4,London,13 days ago,
304,Data Analyst (Qlik Developer),Austin Fraser,4.6,Berkshire,3 days ago,
307,Data Analyst,Inspiring Interns,4.5,London,30+ days ago,"£18,000 a year"
308,Lead Data Analyst (Playsport),Miniclip,,Guildford,24 days ago,
310,BI Developer,believe housing,,Seaham,3 days ago,"£39,438 - £40,534 a year"
311,Senior Data Analyst,Just Eat,3.3,London,13 days ago,
313,HEO - Data Publication Lead Analyst,UK Government - Cabinet Office,3.9,East London,17 days ago,"£30,500 - £38,580 a year"
314,Senior Analyst,William Hill,2.8,Gibraltar,3 days ago,
315,Data Analytics - Fraud,Barclays,4.0,Northampton NN4 7SG,13 days ago,
320,Business Performance Analyst,NHS Wales Shared Services Partnership,3.2,Cardiff CF15 7QZ,4 days ago,"£38,890 - £44,503 a year"
321,Supply Chain Analyst - Space Performance,Morrisons,3.4,Bradford,13 days ago,
322,"Python and SQL - Data Analytics, ML & Visualization consulta...",OneAPPS Consulting Ltd,,Newbury,30+ days ago,
323,Data Analyst - Financial Services,Utility Warehouse,3.7,London,9 days ago,
325,Data Analyst - eDiscovery,KLDiscovery,4.0,London,30+ days ago,
326,Lead/Senior Data Analyst,Cuvva,,London,5 days ago,"£55,000 - £85,000 a year"
327,Robotics Data Analyst,Ocado Group,3.0,Hatfield,30+ days ago,
332,"Consultant, Data & Analytics Architecture, Consulting, Londo...",Deloitte,4.0,London,6 days ago,
335,Leakage Analyst,South East Water,3.7,Kent,10 days ago,"£34,500 a year"
336,Data Business Analyst,Version 1,4.2,Edinburgh,23 days ago,
342,Junior HR Business Analyst,Müller,2.3,Market Drayton,2 days ago,
343,Research Analyst,No Paper Menu,,London,30+ days ago,
344,Graduate Data Analyst,Inspiring Interns,4.5,London,30+ days ago,"£18,000 a year"
346,Investment Operations Analyst,Link Asset Services,2.7,Leeds,2 days ago,
347,eFX Forwards Quantitative Researcher,RBS,3.9,London,7 days ago,
363,Pricing Analyst,Epredia,,Runcorn,5 days ago,
364,Data Analyst,Yieldify,,London,30+ days ago,
365,Business Analyst,PwC,4.0,Belfast,10 days ago,
366,Commercial Performance Analyst,The Global Search Company,,London,6 days ago,"£45,000 a year"
367,Data Analyst,Badoo,3.7,London,30+ days ago,
368,Data Analyst,MagicLab,,London,30+ days ago,
369,Global Reporting & Metric Analyst,Vodafone,3.9,United Kingdom,16 days ago,
374,Transaction Regulatory Reporting Control Analyst,AXA Funds Management,3.9,United Kingdom,11 days ago,
375,Data Migration Technical Analyst (18 Month FTC),A job with Merlin isn’t like a job anywhere else....,,Basingstoke,5 days ago,
376,Enterprise Data Business Analyst,M&G plc,3.9,London,11 days ago,
377,Pricing Analyst,Ardonagh,,Southport PR8 4HQ,19 days ago,"£25,000 - £40,000 a year"
378,eFX Quantitative Researcher,RBS,3.9,London,6 days ago,
379,Project Support & Data Analyst,Language Insight,,Preston,30+ days ago,
380,Trainee BI Developer,Next PLC,3.4,Enderby,Just posted,
381,"Firmwide Data Management - Instrument, Pricing and Common Re...","JPMorgan Chase Bank, N.A.",3.9,Bournemouth,3 days ago,
383,Product Reporting Analyst,Ameriprise Financial,,London,6 days ago,
384,Cost/Financial Analyst - Technical Officer,DBD International,,Warrington,11 days ago,"£35,000 - £45,000 a year"
385,Senior Analyst (Healthcare - Freelance 6 Months),Weber Shandwick,3.9,London,7 days ago,
