,position,company_name,rating,location,date_listed,salary
189,data analyst,Randstad,"3,7","Provincia di Udine, Friuli-Venezia Giulia",19 giorni fa,
190,Digital Data Analyst - Azienda Telco,Page Personnel,"2,6","Provincia di Milano, Lombardia",Più di 30 giorni fa,€30.000 - €35.000 all'anno
191,JUNIOR SALES AND OPERATIONS PLANNER,Ali Spa,"3,8","Minerbio, Emilia-Romagna",Più di 30 giorni fa,
192,BUDGET ANALYST,US Department of the Air Force,"4,4","Aviano, Friuli-Venezia Giulia",3 giorni fa,€45.627 - €59.316 all'anno
193,SENIOR FEM/CFD ANALYST,NIER Ingegneria,,"Bologna, Emilia-Romagna",Più di 30 giorni fa,
194,Business Analyst,Terishield,,"Milano, Lombardia",Più di 30 giorni fa,
202,IT SOLUTION ARCHITECT,TUATARA SP. Z O.O.,,Italia,Più di 30 giorni fa,
204,Predictive Analytics Modeler I,American Modern Insurance Group,,"Amelia, Umbria",Più di 30 giorni fa,
206,Threat Researcher,Infoblox,,"Milano, Lombardia",Più di 30 giorni fa,
208,On- Site Optimization Specialist (E-commerce Optimization),QVC,"3,8","Brugherio, Lombardia",Più di 30 giorni fa,
210,Junior Technical Analyst,FacilityLive,,"Pavia, Lombardia",Più di 30 giorni fa,
211,Senior Business Analyst,Fincons Spa,"3,0","Roma, Lazio",Più di 30 giorni fa,
213,Functional Analyst,NTT Data,"3,5","Torino, Piemonte",Più di 30 giorni fa,
218,Analista Funzionale,Integris Spa,"3,7","Roma, Lazio",Più di 30 giorni fa,
225,Senior Quantitative Analyst - Milan,"Marsh & McLennan Companies, Inc.","3,7","Milano, Lombardia",Più di 30 giorni fa,
227,Technical Business Analyst,DXC,"3,2","Cernusco sul Naviglio, Lombardia",27 giorni fa,
228,Cyber Security Analyst,NTT Data,"3,5","Milano, Lombardia",Più di 30 giorni fa,
232,Organization Analyst,Human Value,,"Roma, Lazio",Più di 30 giorni fa,
234,Analyst Developer - conoscenza Java,CarusiHR & Co. Srl Unipersonale,,"Verona, Veneto",Più di 30 giorni fa,
235,Credit Analyst,Manpower Srl,,"Legnano, Lombardia",21 giorni fa,
236,SENIOR SALES ANALYST,Spring Professional,,"Milano, Lombardia",Più di 30 giorni fa,
238,Junior Analyst Developer PL/SQL,ADORA ICT,"4,5","Roma, Lazio",5 giorni fa,
240,Sales Performance Specialist - REX controller,Amplifon,"3,3","Milano, Lombardia",Più di 30 giorni fa,
241,Field Sales Representative,Google,"4,3","Roma, Lazio",Più di 30 giorni fa,
244,SUPERVISORY PROGRAM ANALYST,US Department of the Navy,"4,3","Capodichino, Campania",5 giorni fa,€92.977 - €120.868 all'anno
245,ServiceNow Business & Technical Consultant,DXC,"3,2","Cernusco sul Naviglio, Lombardia",5 giorni fa,
262,GROUP INTERNAL VALIDATION – GROUP WIDE CREDIT RISK VALIDATIO...,UniCredit Bank,"3,9","Milano, Lombardia",Più di 30 giorni fa,
263,Staff Accountant II,American Modern Insurance Group,,"Amelia, Umbria",Più di 30 giorni fa,
264,Motor - Pricing and Business Analyst,Hays Srl,,"Milano, Lombardia",Più di 30 giorni fa,
266,Analista Di Sistema,Manpower Italia,"3,9","Modena, Emilia-Romagna",Più di 30 giorni fa,
270,"Director, Reinsurance Accounting",American Modern Insurance Group,,"Amelia, Umbria",Più di 30 giorni fa,
272,"Senior Analyst, Electrical Engineering",Whirlpool Corporation,"3,9","Biandronno, Lombardia",Più di 30 giorni fa,
273,Junior Data Engineer/Analyst,Page Personnel Italia,"2,6","Monza, Lombardia",Più di 30 giorni fa,€24.000 all'anno
274,Customer Analytics Manager - Settore Gaming,Hays Srl,,"Milano, Lombardia",Più di 30 giorni fa,€50.000 - €65.000 all'anno
275,Dedicated Support Engineer,Unify Square,,"Milano, Lombardia",Più di 30 giorni fa,
276,IT Business Analyst,ONLY JOB S.R.L.,,"Milano, Lombardia",Più di 30 giorni fa,
278,Junior IT Consultant - Neolaureati Informatica e Materie ste...,Avanade,"3,7","Milano, Lombardia",Più di 30 giorni fa,
279,"Manager, Corporate Accounting Policy & Research",American Modern Insurance Group,,"Amelia, Umbria",Più di 30 giorni fa,
281,IT DBA - Database Administrator,AKKA TECHNOLOGIES,"3,1","Bari, Puglia",Più di 30 giorni fa,
285,Head of Product,MotorK,"3,2","Milano, Lombardia",9 giorni fa,
287,Functional Analyst IT,Aesys,,"Milano, Lombardia",Più di 30 giorni fa,
288,PROGRAMMING ANALYST – SPECIALIST .NET C# DEVELOPER,HLT Management,,"Roma, Lazio",Più di 30 giorni fa,
290,TEST ANALYSTS - TEM,Altran,"3,2","Milano, Lombardia",Più di 30 giorni fa,
352,Analyst - Management Consulting,IQVIA,"3,8","Milano, Lombardia",11 giorni fa,
353,BUSINESS DATA ANALYST/DATA SCIENTIST SENIOR,BV TECH,,"Milano, Lombardia",Più di 30 giorni fa,
354,QUANTITATIVE RISK ANALYST JR,Banca Sella,"3,9","Biella, Piemonte",Più di 30 giorni fa,
355,"Business Analyst, Hygiene Business Unit",RB,"3,6","Milano, Lombardia",Più di 30 giorni fa,
356,Senior Digital Data Analyst-Adobe,Datrix Group,,"Milano, Lombardia",Più di 30 giorni fa,
357,MARKETING ANALYST,A2A S.p.A.,"3,3","Milano, Lombardia",Più di 30 giorni fa,
358,Quantitative Analyst - Milan,"Marsh & McLennan Companies, Inc.","3,7","Milano, Lombardia",Più di 30 giorni fa,
359,Data Analyst - Vimodrone,Page Personnel Italia,"2,6","Provincia di Milano, Lombardia",3 giorni fa,€30.000 all'anno
360,Business Analyst,esprimo,"4,5","Milano, Lombardia",5 giorni fa,
361,Cybersecurity analyst,BRIGHTCYDE,,"Mola di Bari, Puglia",Più di 30 giorni fa,
362,JUNIOR FEM/CFD ANALYST,NIER Ingegneria,,"Bologna, Emilia-Romagna",Più di 30 giorni fa,
363,Cybersecurity Senior Analyst,BRIGHTCYDE,,"Mola di Bari, Puglia",Più di 30 giorni fa,
364,Business Analyst / Junior,Valuement,,Italia,Più di 30 giorni fa,
365,Logistics Analyst 2 - Vicenza,CACI,"3,8","Provincia di Napoli, Campania",Più di 30 giorni fa,
366,Business Intelligence Analyst,Immobiliare.it,"3,0","Milano, Lombardia",Più di 30 giorni fa,
