,position,company_name,rating,location,salary,country,days,salary_num,date
1216,"Junior Data Analyst, Hersham, SQL, Power BI",Langley James IT Recruitment,,Surrey,£25000 a year,England,30.0,27750.000000000004,2020-05-17
1217,"Data Analyst, Retail",CBRE,,London,nan,England,30.0,,2020-05-17
1218,Level 3 Application Support Analyst,Anaplan,,London,nan,England,7.0,,2020-06-09
1219,BI Developer and Analyst,Holland & Barrett,,Nuneaton CV10 7RH,nan,England,30.0,,2020-05-17
1220,Business Analyst,LendingMetrics,,Fareham PO15 5TU,nan,England,4.0,,2020-06-12
1221,Recovery Analyst,BT,,Bristol,nan,England,25.0,,2020-05-22
1222,Data Analyst – £32k + benefits,Dome Recruitment,,Buckinghamshire,£32000 a year,England,30.0,35520.0,2020-05-17
1223,Data Scientist/Data Analyst,Atkins,,Bristol,nan,England,7.0,,2020-06-09
1224,Performance Reporting Analyst,Skanska,,London,nan,England,5.0,,2020-06-11
1225,Lead Data Analyst (Maternity Cover),Yieldify,,London,nan,England,0.0,,2020-06-16
1226,Data Control Analyst,cer Financial Ltd,,Canary Wharf,nan,England,3.0,,2020-06-13
1227,Pricing Analyst,The Royal Society of Chemistry,,nan,nan,England,19.0,,2020-05-28
1228,"Scientist in Data, Methods, & Analytics",GSK,,Stevenage SG1,nan,England,17.0,,2020-05-30
1229,"Data Analyst (Salesforce, Data Migration, CRM)",Ampersand Consulting,,London,£400 - £430 a day,England,30.0,115884.00000000001,2020-05-17
1230,Business Analyst,digital gut per Forfirm,,London,£65000 - £80000 a year,England,4.0,72150.0,2020-06-12
1231,Technical Pricing Analyst,AXA UK,,Weybridge KT13 0NY,£28000 - £35000 a year,England,10.0,31080.000000000004,2020-06-06
1232,Senior Information Analyst,Health Education England,,Cambridge CB21 5XB,£31365 a year,England,10.0,34815.15,2020-06-06
1233,Business Analyst,Whip Media Group,,London,nan,England,30.0,,2020-05-17
1234,Pricing Analyst (supporting international operations),Admiral Insurance,,Cardiff,nan,England,30.0,,2020-05-17
1235,Senior Business Analyst - Veeva CRM,RB,,Slough,nan,England,10.0,,2020-06-06
1236,Customer Insight Analyst,Understanding Recruitment,,London,£30000 - £39000 a year,England,0.0,33300.0,2020-06-16
1237,Credit Risk Analyst (Retail),Smartest Energy,,London,£21000 - £23000 a year,England,26.0,23310.000000000004,2020-05-21
1238,Junior Analyst,Datatech Analytics,,Bristol,nan,England,30.0,,2020-05-17
1239,BA4 - Business Readiness Analyst,Barclays,,Glasgow,nan,England,10.0,,2020-06-06
1240,Senior Data Scientist – Premium Analytics (Payments),Spotify,,London,nan,England,10.0,,2020-06-06
1241,Senior Data Analyst,GlobalWebIndex,,London,nan,England,30.0,,2020-05-17
1242,Apprentice Risk Pricing Analyst,Hastings Direct,,Bexhill,nan,England,10.0,,2020-06-06
1243,Business Analyst Lead,Firemind,,Maidstone,£50000 a year,England,25.0,55500.00000000001,2020-05-22
1244,DW Business Analyst,Laksa Solutions Ltd,,Stoke-on-Trent,£30000 - £36000 a year,England,30.0,33300.0,2020-05-17
1245,Data Analytics Consultant,CAPCO,,London,nan,England,30.0,,2020-05-17
1246,Data Analyst,Deep Labs,,Belfast BT1 4GB,nan,England,30.0,,2020-05-17
1247,Junior BI Developer,Computershare,,Edinburgh,nan,England,30.0,,2020-05-17
